url,articleTitle,socialMediaCount
https://www.huffingtonpost.com/entry/joaquin-castro-donald-trump-impeachment_us_5c0c0ac7e4b0a606a9a94024,"Rep. Joaquín Castro: If Trump Weren't President, 'He'd Be In Court Right Now'",1800
https://www.huffingtonpost.com/entry/bernie-sanders-climate-change-2020-election_us_5c05a321e4b066b5cfa4c686,"Bernie Sanders Stakes Out Forceful Climate Stance, Leapfrogging The 2020 Field",1700
https://www.huffingtonpost.com/entry/alexandria-ocasio-cortez-supports-nancy-pelosi-house-speaker_us_5bf6a051e4b0771fb6b663a0,Alexandria Ocasio-Cortez Throws Support Behind Nancy Pelosi For House Speaker,1700
https://www.huffingtonpost.com/entry/trump-child-separation-obama_us_5bfbb980e4b0eb6d93105dd6,"No, Trump's Migrant Child Separation Policy Isn't The 'Exact Same' As Obama's",1600
https://www.huffingtonpost.com/entry/wisconsin-paul-ryan-scott-walker-tony-evers_us_5c07eebae4b0a6e4ebdacf24,Paul Ryan Silent On GOP Power Grab In Wisconsin,1600
https://www.huffingtonpost.com/entry/hemp-legalization-congress-farm-bill_us_5c016e7fe4b0249dce74973e,Hemp Is Finally About To Go Fully Legit In The U.S.,1400
https://www.huffingtonpost.com/entry/trump-says-he-hired-michael-cohen-as-his-lawyer-because-of-a-favor_us_5c0010a7e4b08506231aa092,Trump Says He Hired Michael Cohen As His Lawyer Because Of A 'Favor',1400
https://www.huffingtonpost.com/entry/trump-tweets-michael-cohen-sentence_us_5c054c8ee4b066b5cfa4396e,Trump: Michael Cohen Should Serve ‘Complete Sentence' For Things 'Unrelated' To Campaign,1400
https://www.huffingtonpost.com/entry/rudy-giuliani-tweet-anti-trump_us_5c059004e4b066b5cfa4b8db,Evil Genius Turns Giuliani's Typo-Ridden Tweet Into Hilarious Anti-Trump Message,1300
https://www.huffingtonpost.com/entry/donald-trump-time-magazine-person-of-the-year-2018_us_5bf51018e4b0eb6d9309ae5a,It's No Surprise Who Donald Trump Thinks Should Be Time's 2018 'Person Of The Year',1200
https://www.huffingtonpost.com/entry/donald-trump-time-magazine-person-of-the-year-2018_us_5bf51018e4b0eb6d9309ae5a,It's No Surprise Who Donald Trump Thinks Should Be Time's 2018 'Person Of The Year',1200
https://www.huffingtonpost.com/entry/ballot-worries-cloud-outcome-of-north-carolina-congress-race_us_5c01ced6e4b04fb21168186a,Election Fraud Hearing Could Change Outcome Of North Carolina Vote,1200
https://www.huffingtonpost.com/entry/cindy-hyde-smith-mlb-donation_us_5bfae778e4b0771fb6b9f0b4,"MLB Asks Cindy Hyde-Smith Campaign To Return $5,000 Donation: Report",1100
https://www.huffingtonpost.com/entry/george-hw-bush-dead-letter-to-bill-clinton-inauguration_us_5c02384ee4b0606a15b57154,A Letter That George H.W. Bush Wrote To Bill Clinton Is Going Viral Again,1100
https://www.huffingtonpost.com/entry/james-comey-testifies-to-house-oversight-committee_us_5c0aa16fe4b0b6cdaf5ee096,Read James Comey's Testimony To The House Oversight Committee,1100
https://www.huffingtonpost.com/entry/george-conway-trump-tweet-roger-stone_us_5c055b00e4b0cd916fae8c9a,George Conway Suggests New Donald Trump Tweet May Break The Law,1100
https://www.huffingtonpost.com/entry/sheldon-lubar-scott-walker-wisconsin_us_5c07ef92e4b0fc2361125f52,Republican Businessman Sheldon Lubar Calls Wisconsin Gov. Scott Walker 'Conniving',1000
https://www.huffingtonpost.com/entry/parkland-dad-praises-george-hw-bush-for-his-rejection-of-the-nra_us_5c02da24e4b04fb211688d4b,Parkland Dad Praises George H.W. Bush For His Rejection Of The NRA,1000
https://www.huffingtonpost.com/entry/laura-ingraham-confederate-statues-isis_us_5c07926be4b0fc236111701b,Fox News Host Laura Ingraham Likens People Protesting Confederate Statues To ISIS,1000
https://www.huffingtonpost.com/entry/running-for-office-congress-house-millionaires_us_5c0019b2e4b0864f4f6b5535,Running For Office Is Really Hard If You're Not A Millionaire,960
https://www.huffingtonpost.com/entry/trump-manufacturing-jobs-gm-layoffs-poll_us_5bff257ce4b0864f4f69f6b8,Many Americans Are Giving Trump The Benefit Of The Doubt On Manufacturing Jobs,950
https://www.huffingtonpost.com/entry/joe-biden-donald-trump-license-to-prejudice_us_5c08de6be4b069028dc69013,Joe Biden Blames Rise In Anti-Semitic Incidents Firmly On Donald Trump's Administration,920
https://www.huffingtonpost.com/entry/migrant-mother-impaled-in-front-of-children-while-attempting-to-scale-border-fence_us_5bfd4d29e4b0771fb6be258a,Migrant Mother Impaled In Front Of Children While Attempting To Scale Border Fence,850
https://www.huffingtonpost.com/entry/texas-camp-for-teen-migrants-bypasses-safety-regulations-fbi_us_5bfdbcaae4b0a46950dce61f,Texas Camp For Teen Migrants Bypasses Safety Regulations,840
https://www.huffingtonpost.com/entry/trump-aides-caught-in-web-of-deception-over-russia-contacts_us_5c032fc5e4b04fb21168a8ce,Trump Aides Caught In Web Of Lies Over Russia Contacts,750
https://www.huffingtonpost.com/entry/alyssa-milano-betsy-devos-title-ix_us_5c0867bfe4b069028dc653e2,Alyssa Milano Rips Betsy DeVos' Campus Sexual Assault Rules In Dr. Seuss Spoof,700
https://www.huffingtonpost.com/entry/paul-manafort-violated-plea-deal-mueller_us_5bfc8b5ce4b0eb6d9312fe84,Mueller: Paul Manafort Broke Plea Deal By Lying To Investigators In Russia Probe,660
https://www.huffingtonpost.com/entry/democrats-thomas-farr-nomination-voting-rights_us_5bfdbbe2e4b0f03cd030ca1e,Democrats Only Need 1 More GOP Vote To Sink A Controversial Judicial Nominee,660
https://www.huffingtonpost.com/entry/puerto-rico-governor-rossello-congress-funding-maria_us_5bf52e0ee4b0eb6d9309d843,"More Than A Year Post-Maria, Puerto Rico's Governor Beseeches Congress For Help",650
https://www.huffingtonpost.com/entry/former-senators-trump-mueller-investigation-editorial_us_5c0f3424e4b06484c9fde188,44 Former Senators Warn Current Lawmakers Not To Blow It On Trump,630
https://www.huffingtonpost.com/entry/trump-asylum-seekers-wait-mexico_us_5bf631c0e4b03b230f9e91d9,Trump May Move Ahead With Plans To Make Asylum Seekers Wait In Mexico: Report,620
https://www.huffingtonpost.com/entry/donald-trump-meet-kremlin-putin-g20_us_5c000f41e4b0864f4f6b4076,Trump Cancels Meeting With Putin Amid Ukraine-Russia Conflicts,620
https://www.huffingtonpost.com/entry/gina-haspel-jamal-khashoggi-hearing_us_5bfed947e4b03ce3f6e617dc,"CIA Director Gina Haspel Absent During Hearing On Saudi Arabia, Khashoggi Killing",620
https://www.huffingtonpost.com/entry/ted-lieu-donald-trump-shut-down-mueller-probe_us_5c099821e4b0de79357b1d57,Rep. Ted Lieu: It's 'Too Late' For Trump To Shut Down The Russia Probe,610
https://www.huffingtonpost.com/entry/hey-ivanka-youve-got-the-wrong-definition-of-human-trafficking_us_5c059e6ce4b07aec57519779,"Hey, Ivanka Trump: You’ve Got The Wrong Definition Of ‘Human Trafficking’",610
